Jan  5 00:13:30 c.mx.h2.net sm-mta[8667]: jB88DNFk008667: from=<u13@h2.net>, size=3666, class=-60, nrcpts=1, msgid=<u14@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
Jan  5 00:13:30 d.mx.h2.net sm-mta[12997]: jB88DV7b012997: from=<u13@h2.net>, size=1195, class=-60, nrcpts=1, msgid=<u96@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:30 d.mx.h2.net sm-mta[13004]: jB88DV7b012997: to=<u103@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229195, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DVUS032738 Message accepted for delivery) 
Jan  5 00:13:30 c.mx.h2.net sm-mta[8972]: jB88DVUZ008972: from=<u13@h2.net>, size=1186, class=-60, nrcpts=1, msgid=<u97@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:30 c.mx.h2.net sm-mta[8977]: jB88DVUZ008972: to=<u102@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229186, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DViR032739 Message accepted for delivery) 
Jan  5 00:13:30 b.mx.h2.net sm-mta[8463]: jB88DVtQ008463: from=<u13@h2.net>, size=1603, class=-60, nrcpts=1, msgid=<u55@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:31 b.mx.h2.net sm-mta[8474]: jB88DVtQ008463: to=<u123@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229603, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DVYV032762 Message accepted for delivery) 
Jan  5 00:13:30 b.mx.h2.net sm-mta[8466]: jB88DVYC008466: from=<u13@h2.net>, size=6592, class=-60, nrcpts=1, msgid=<u114@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:31 b.mx.h2.net sm-mta[8477]: jB88DVYC008466: to=<u124@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=234592, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DVlJ008329 Message accepted for delivery) 
Jan  5 00:13:30 a.mx.h2.net sm-mta[12427]: jB88DVcO012427: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u115@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:31 a.mx.h2.net sm-mta[12437]: jB88DVcO012427: to=<u128@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DVWP008330 Message accepted for delivery) 
Jan  5 00:13:30 a.mx.h2.net sm-mta[12430]: jB88DVJ6012430: from=<u13@h2.net>, size=1814, class=-60, nrcpts=1, msgid=<u116@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:31 a.mx.h2.net sm-mta[12438]: jB88DVJ6012430: to=<u129@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229814, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DVuZ032764 Message accepted for delivery) 
Jan  5 00:13:30 d.mx.h2.net sm-mta[13008]: jB88DV91013008: from=<u13@h2.net>, size=1266, class=-60, nrcpts=1, msgid=<u118@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:31 d.mx.h2.net sm-mta[13016]: jB88DV91013008: to=<u126@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229266, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DVtT008331 Message accepted for delivery) 
Jan  5 00:13:31 d.mx.h2.net sm-mta[13012]: jB88DVji013012: from=<u13@h2.net>, size=1192, class=-60, nrcpts=1, msgid=<u127@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:31 d.mx.h2.net sm-mta[13019]: jB88DVji013012: to=<u135@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229192, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DV79008357 Message accepted for delivery) 
Jan  5 00:13:31 c.mx.h2.net sm-mta[8981]: jB88DV1l008981: from=<u13@h2.net>, size=1577, class=-60, nrcpts=1, msgid=<u131@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:31 c.mx.h2.net sm-mta[8988]: jB88DV1l008981: to=<u138@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229577, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DVUT000318 Message accepted for delivery) 
Jan  5 00:13:31 b.mx.h2.net sm-mta[8478]: jB88DV12008478: from=<u13@h2.net>, size=1195, class=-60, nrcpts=1, msgid=<u133@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:31 b.mx.h2.net sm-mta[8486]: jB88DV12008478: to=<u144@h2.net>, delay=00:00:01, xdelay=00:00:01, mailer=esmtp, pri=229195, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DV8X008370 Message accepted for delivery) 
Jan  5 00:13:31 d.mx.h2.net sm-mta[13020]: jB88DVBQ013020: from=<u13@h2.net>, size=1198, class=-60, nrcpts=1, msgid=<u139@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:31 d.mx.h2.net sm-mta[13028]: jB88DVBQ013020: to=<u150@h2.net>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=229198, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DWbf000330 Message accepted for delivery) 
Jan  5 00:13:31 c.mx.h2.net sm-mta[8989]: jB88DVhG008989: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u145@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:31 c.mx.h2.net sm-mta[8996]: jB88DVhG008989: to=<u155@h2.net>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DWZH008396 Message accepted for delivery) 
Jan  5 00:13:31 d.mx.h2.net sm-mta[13029]: jB88DWvs013029: from=<u13@h2.net>, size=1269, class=-60, nrcpts=1, msgid=<u149@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:31 d.mx.h2.net sm-mta[13034]: jB88DWvs013029: to=<u157@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229269, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DWkx000342 Message accepted for delivery) 
Jan  5 00:13:31 d.mx.h2.net sm-mta[13038]: jB88DWLw013038: from=<u13@h2.net>, size=1278, class=-60, nrcpts=1, msgid=<u161@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:31 d.mx.h2.net sm-mta[13047]: jB88DWLw013038: to=<u172@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229278, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DWVl000354 Message accepted for delivery) 
Jan  5 00:13:31 a.mx.h2.net sm-mta[12440]: jB88DWXD012440: from=<u13@h2.net>, size=1426, class=-60, nrcpts=1, msgid=<u166@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:31 a.mx.h2.net sm-mta[12448]: jB88DWXD012440: to=<u175@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229426, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DWjr000355 Message accepted for delivery) 
Jan  5 00:13:31 b.mx.h2.net sm-mta[8490]: jB88DWs2008490: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u167@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:31 b.mx.h2.net sm-mta[8495]: jB88DWs2008490: to=<u176@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DWPV008409 Message accepted for delivery) 
Jan  5 00:13:31 c.mx.h2.net sm-mta[9001]: jB88DWex009001: from=<u13@h2.net>, size=1432, class=-60, nrcpts=1, msgid=<u180@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:31 c.mx.h2.net sm-mta[9008]: jB88DWex009001: to=<u186@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229432, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DWMt000378 Message accepted for delivery) 
Jan  5 00:13:31 d.mx.h2.net sm-mta[13058]: jB88DWxZ013058: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u206@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:32 d.mx.h2.net sm-mta[13071]: jB88DWxZ013058: to=<u211@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DWaa000390 Message accepted for delivery) 
Jan  5 00:13:32 d.mx.h2.net sm-mta[13072]: jB88DWrh013072: from=<u13@h2.net>, size=1580, class=-60, nrcpts=1, msgid=<u214@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:32 d.mx.h2.net sm-mta[13080]: jB88DWrh013072: to=<u220@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229580, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DXbE008441 Message accepted for delivery) 
Jan  5 00:13:32 a.mx.h2.net sm-mta[12458]: jB88DWvm012458: from=<u13@h2.net>, size=3124, class=-60, nrcpts=1, msgid=<u217@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:32 a.mx.h2.net sm-mta[12463]: jB88DWvm012458: to=<u228@h2.net>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=231124, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DX0S008445 Message accepted for delivery) 
Jan  5 00:13:32 d.mx.h2.net sm-mta[13076]: jB88DWOw013076: from=<u13@h2.net>, size=1429, class=-60, nrcpts=1, msgid=<u221@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:32 d.mx.h2.net sm-mta[13085]: jB88DWOw013076: to=<u232@h2.net>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=229429, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DXQI000402 Message accepted for delivery) 
Jan  5 00:13:32 c.mx.h2.net sm-mta[9018]: jB88DX5w009018: from=<u13@h2.net>, size=2970, class=-60, nrcpts=1, msgid=<u233@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:32 c.mx.h2.net sm-mta[9029]: jB88DX5w009018: to=<u238@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230970, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DXM3008467 Message accepted for delivery) 
Jan  5 00:13:32 c.mx.h2.net sm-mta[9021]: jB88DXiS009021: from=<u13@h2.net>, size=2354, class=-60, nrcpts=1, msgid=<u234@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:32 c.mx.h2.net sm-mta[9033]: jB88DXiS009021: to=<u243@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230354, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DXYc008471 Message accepted for delivery) 
Jan  5 00:13:32 d.mx.h2.net sm-mta[13092]: jB88DXR7013092: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u240@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:32 d.mx.h2.net sm-mta[13099]: jB88DXR7013092: to=<u258@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DXMD008490 Message accepted for delivery) 
Jan  5 00:13:32 b.mx.h2.net sm-mta[8512]: jB88DXtv008512: from=<u13@h2.net>, size=1895, class=-60, nrcpts=1, msgid=<u242@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:32 b.mx.h2.net sm-mta[8523]: jB88DXtv008512: to=<u256@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229895, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DXWR008497 Message accepted for delivery) 
Jan  5 00:13:32 c.mx.h2.net sm-mta[9034]: jB88DXJZ009034: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u250@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:32 c.mx.h2.net sm-mta[9045]: jB88DXJZ009034: to=<u263@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DXiq008503 Message accepted for delivery) 
Jan  5 00:13:32 c.mx.h2.net sm-mta[9037]: jB88DXE0009037: from=<u13@h2.net>, size=1195, class=-60, nrcpts=1, msgid=<u257@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:32 c.mx.h2.net sm-mta[9048]: jB88DXE0009037: to=<u264@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229195, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DXi8000414 Message accepted for delivery) 
Jan  5 00:13:32 d.mx.h2.net sm-mta[13103]: jB88DXSw013103: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u271@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:32 d.mx.h2.net sm-mta[13108]: jB88DXSw013103: to=<u274@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DX1M000426 Message accepted for delivery) 
Jan  5 00:13:32 a.mx.h2.net sm-mta[12470]: jB88DXkG012470: from=<u13@h2.net>, size=4433, class=-60, nrcpts=1, msgid=<u272@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:32 a.mx.h2.net sm-mta[12477]: jB88DXkG012470: to=<u275@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=232433, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DXYL008575 Message accepted for delivery) 
Jan  5 00:13:32 b.mx.h2.net sm-mta[8530]: jB88DX0w008530: from=<u13@h2.net>, size=1198, class=-60, nrcpts=1, msgid=<u273@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:33 b.mx.h2.net sm-mta[8537]: jB88DX0w008530: to=<u284@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229198, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DXZM008585 Message accepted for delivery) 
Jan  5 00:13:33 a.mx.h2.net sm-mta[12481]: jB88DXGm012481: from=<u13@h2.net>, size=3432, class=-60, nrcpts=1, msgid=<u292@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:33 a.mx.h2.net sm-mta[12486]: jB88DXGm012481: to=<u300@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=231432, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DYN3008599 Message accepted for delivery) 
Jan  5 00:13:33 c.mx.h2.net sm-mta[9054]: jB88DXjr009054: from=<u13@h2.net>, size=1817, class=-60, nrcpts=1, msgid=<u296@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:33 c.mx.h2.net sm-mta[9061]: jB88DXjr009054: to=<u304@h2.net>, delay=00:00:01, xdelay=00:00:01, mailer=esmtp, pri=229817, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DYer000438 Message accepted for delivery) 
Jan  5 00:13:33 b.mx.h2.net sm-mta[8541]: jB88DX3s008541: from=<u13@h2.net>, size=2345, class=-60, nrcpts=1, msgid=<u298@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:33 b.mx.h2.net sm-mta[8549]: jB88DX3s008541: to=<u310@h2.net>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=230345, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DYl7008606 Message accepted for delivery) 
Jan  5 00:13:33 d.mx.h2.net sm-mta[13119]: jB88DX5B013119: from=<u13@h2.net>, size=1266, class=-60, nrcpts=1, msgid=<u299@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:33 d.mx.h2.net sm-mta[13124]: jB88DX5B013119: to=<u303@h2.net>, delay=00:00:01, xdelay=00:00:01, mailer=esmtp, pri=229266, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DYta008602 Message accepted for delivery) 
Jan  5 00:13:33 b.mx.h2.net sm-mta[8545]: jB88DXcq008545: from=<u13@h2.net>, size=1500, class=-60, nrcpts=1, msgid=<u305@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:33 b.mx.h2.net sm-mta[8552]: jB88DXcq008545: to=<u316@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229500, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DYqO008635 Message accepted for delivery) 
Jan  5 00:13:33 a.mx.h2.net sm-mta[12487]: jB88DY3t012487: from=<u13@h2.net>, size=2579, class=-60, nrcpts=1, msgid=<u306@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:33 a.mx.h2.net sm-mta[12492]: jB88DY3t012487: to=<u315@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230579, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DYUh000454 Message accepted for delivery) 
Jan  5 00:13:33 c.mx.h2.net sm-mta[9062]: jB88DY7l009062: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u317@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:33 c.mx.h2.net sm-mta[9070]: jB88DY7l009062: to=<u320@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DYK0008647 Message accepted for delivery) 
Jan  5 00:13:33 c.mx.h2.net sm-mta[9065]: jB88DYnJ009065: from=<u13@h2.net>, size=1201, class=-60, nrcpts=1, msgid=<u318@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:33 c.mx.h2.net sm-mta[9073]: jB88DYnJ009065: to=<u322@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229201, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DYHO000480 Message accepted for delivery) 
Jan  5 00:13:33 b.mx.h2.net sm-mta[8555]: jB88DYZW008555: from=<u13@h2.net>, size=1346, class=-60, nrcpts=1, msgid=<u330@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:33 b.mx.h2.net sm-mta[8560]: jB88DYZW008555: to=<u332@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229346, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DYUx000502 Message accepted for delivery) 
Jan  5 00:13:33 a.mx.h2.net sm-mta[12502]: jB88DY03012502: from=<u13@h2.net>, size=1500, class=-60, nrcpts=1, msgid=<u334@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:33 a.mx.h2.net sm-mta[12516]: jB88DY03012502: to=<u339@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229500, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DY4l008659 Message accepted for delivery) 
Jan  5 00:13:33 a.mx.h2.net sm-mta[12508]: jB88DYRC012508: from=<u13@h2.net>, size=2973, class=-60, nrcpts=1, msgid=<u336@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:34 a.mx.h2.net sm-mta[12519]: jB88DYRC012508: to=<u342@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=230973, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DY1I008662 Message accepted for delivery) 
Jan  5 00:13:34 b.mx.h2.net sm-mta[8564]: jB88DYbP008564: from=<u13@h2.net>, size=1895, class=-60, nrcpts=1, msgid=<u343@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
**** Jan  5 00:13:34 b.mx.h2.net sm-mta[8570]: jB88DYbP008564: to=<u349@h2.net>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=229895, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DYXF008683 Message accepted for delivery) 
Jan  5 00:13:34 d.mx.h2.net sm-mta[13132]: jB88DYi1013132: from=<u13@h2.net>, size=1500, class=-60, nrcpts=1, msgid=<u344@eth0.can.spam.h2.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
